,Input,Output,Network
video/240p_60fps.mp4,60.0,2.617774181051246,2.505888075662092
video/360p_30fps.mp4,30.0,2.1614079832268644,2.3794681537933164
video/480p_30fps.mp4,30.0,2.1250951908323863,2.345436473366221
video/720p_30fps.mp4,30.0,2.033384227155316,2.3611734805657894
video/1080p_30fps.mp4,30.0,1.9441647135047395,2.4230680520330674
video/1080p_60fps.mp4,60.0,2.1653195946569053,2.5259153916538173
0,30.0,2.17863257507584,2.281581998050977
1,30.0,2.024123435790831,2.2119904067931935
