,Input,Output,Network
video/240p_60fps.mp4,60.0,7.080234024702348,8.442783382451175
video/360p_30fps.mp4,30.0,5.583079729851537,8.452979277118189
video/480p_30fps.mp4,30.0,5.527939681198123,8.41998279898196
video/720p_30fps.mp4,30.0,2.730959174816144,8.490631041606084
video/1080p_30fps.mp4,30.0,1.423041254006206,8.419681852043466
video/1080p_60fps.mp4,60.0,1.5148011365264704,8.447746911224101
