,Input,Output,Network
video/240p_60fps.mp4,60.0,25.59230091552496,39.46858316116371
video/360p_30fps.mp4,30.0,21.478563955643224,39.34189536064888
video/480p_30fps.mp4,30.0,21.79211738647931,39.70576279974202
video/720p_30fps.mp4,30.0,16.01577289681536,40.74888478888376
video/1080p_30fps.mp4,30.0,10.497402825799748,40.41955964232645
video/1080p_60fps.mp4,60.0,11.453417042554301,43.214055895207736
